model,f1_macro,f1_weighted,recall,accuracy
A_LinearSVC_C1,0.966352,,0.965264,0.9676370393310623
A_LinearSVC_C2,0.965693,,0.963579,0.9668628058222359
A_LogReg_C1,0.961605,,0.962697,0.9639207184886962
A_LogReg_C3,0.963815,,0.964113,0.9665531124187055
A_MultinomialNB,0.920445,,0.907993,0.9406937132239084
A_RF_150,0.910949,,0.927797,0.9247445029420873
B_RF_200,0.63,0.62,0.64,0.64
B_LogReg,0.47,0.50,0.49,0.49
B_LinearSVC,0.46,0.50,0.52,0.52
C_LogReg_C1,0.985731,,0.986887,0.987181
C_LogReg_C5,0.990825,,0.990303,0.989928
C_SVC_C1,0.991807,,0.991905,0.992451
C_SVC_C2,0.991891,,0.991946,0.992581
C_RF_200,0.983076,,0.979652,0.984887
C_RF_300,0.983193,,0.979800,0.984843
D_YOLOv8n,0.792,,0.901,0.8876